,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
2,0.8381328582763672,0.8868548274040222,0.7133452892303467,250,250,0.8182635185124427,CND_multimodal_late_fusion
3,0.8394280672073364,0.8894484043121338,0.7113149762153625,250,250,0.8189639463252005,CND_multimodal_late_fusion
4,0.8396420478820801,0.8900443911552429,0.7105506062507629,250,250,0.8223797303022697,CND_multimodal_late_fusion
0,0.8825191855430603,0.9280397295951843,0.7094991207122803,0,0_p_future,0.8528747854841063,CND_multimodal_late_fusion
1,0.8732595443725586,0.9211832284927368,0.6911053657531738,0,0_p_future,0.8372342579721024,CND_multimodal_late_fusion
2,0.8798398375511169,0.9247633814811707,0.7090888619422913,0,0_p_future,0.8462936807188255,CND_multimodal_late_fusion
3,0.879238486289978,0.9246329069137573,0.7066980004310608,0,0_p_future,0.8436219505078644,CND_multimodal_late_fusion
4,0.8808310627937317,0.92506343126297,0.7127071619033813,0,0_p_future,0.8504533079720948,CND_multimodal_late_fusion
0,0.8149898648262024,0.8637938499450684,0.7101382613182068,500,500_p_future,0.8008501799212384,CND_multimodal_late_fusion
1,0.8035945892333984,0.8584250211715698,0.6857956051826477,500,500_p_future,0.791200842089073,CND_multimodal_late_fusion
2,0.8058096766471863,0.8577595353126526,0.6941995620727539,500,500_p_future,0.7919059875481045,CND_multimodal_late_fusion
3,0.8058818578720093,0.8576673865318298,0.694624662399292,500,500_p_future,0.7946340453279758,CND_multimodal_late_fusion
4,0.8040409088134766,0.8536772131919861,0.6974011063575745,500,500_p_future,0.7964278504618993,CND_multimodal_late_fusion
0,0.7826141119003296,0.8349138498306274,0.6808829307556152,750,750_p_future,0.7764321920255,CND_multimodal_late_fusion
1,0.7764517664909363,0.8343487977981567,0.6638330817222595,750,750_p_future,0.7673959556686543,CND_multimodal_late_fusion
2,0.7745792269706726,0.8285216093063354,0.6696528792381287,750,750_p_future,0.7663854967514123,CND_multimodal_late_fusion
3,0.7735627293586731,0.8271173238754272,0.6693907976150513,750,750_p_future,0.7732370002080697,CND_multimodal_late_fusion
4,0.7736592888832092,0.8187487721443176,0.6859533190727234,750,750_p_future,0.7702423331212008,CND_multimodal_late_fusion
0,0.7677985429763794,0.8222222328186035,0.6688918471336365,1000,1000_p_future,0.7637574907621456,CND_multimodal_late_fusion
1,0.7566908001899719,0.8156583905220032,0.6495263576507568,1000,1000_p_future,0.7539747240520569,CND_multimodal_late_fusion
2,0.757020115852356,0.8103197813034058,0.66015625,1000,1000_p_future,0.7472276935151165,CND_multimodal_late_fusion
3,0.7505462765693665,0.7883495092391968,0.6818447113037109,1000,1000_p_future,0.7528934508861594,CND_multimodal_late_fusion
4,0.7560545206069946,0.8003014326095581,0.6756426095962524,1000,1000_p_future,0.7587406873210745,CND_multimodal_late_fusion
0,0.7467638254165649,0.7932659983634949,0.6659412384033203,1250,1250_p_future,0.7515472135229299,CND_multimodal_late_fusion
1,0.7514228820800781,0.8082634210586548,0.6526315808296204,1250,1250_p_future,0.7529354514161519,CND_multimodal_late_fusion
2,0.7471417188644409,0.8161490559577942,0.6272040009498596,1250,1250_p_future,0.7418892574270728,CND_multimodal_late_fusion
3,0.752212405204773,0.7855626344680786,0.6942482590675354,1250,1250_p_future,0.7583346519105437,CND_multimodal_late_fusion
4,0.7494698166847229,0.7857142686843872,0.686475396156311,1250,1250_p_future,0.7543251820382915,CND_multimodal_late_fusion
0,0.7512549757957458,0.7935656905174255,0.6831275820732117,1500,1500_p_future,0.7586752899197146,CND_multimodal_late_fusion
1,0.7645151615142822,0.809461236000061,0.6921443939208984,1500,1500_p_future,0.7670829616413917,CND_multimodal_late_fusion
2,0.755158543586731,0.8005284070968628,0.6821052432060242,1500,1500_p_future,0.7468331846565566,CND_multimodal_late_fusion
3,0.7613422870635986,0.788051187992096,0.7183364629745483,1500,1500_p_future,0.7670160570918823,CND_multimodal_late_fusion
4,0.7564760446548462,0.7847025394439697,0.7110266089439392,1500,1500_p_future,0.7606601248884924,CND_multimodal_late_fusion
